experiment,num_ind,max_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
37,50,20000,10,1000000000.0,1e-08,1e-08,0.12132469948311095,0,10,0,0,10,0,0,10,0,1,6,3,1,6,3
37,50,50000,10,1000000000.0,1e-08,1e-08,0.12132469948311095,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
38,50,5000,10,1000000000.0,1e-08,1e-08,0.12063395431157173,1,9,0,1,9,0,1,9,0,5,4,1,5,4,1
38,50,20000,10,1000000000.0,1e-08,1e-08,0.12063395431157173,1,9,0,1,9,0,0,10,0,3,5,2,3,5,2
38,50,50000,10,1000000000.0,1e-08,1e-08,0.12063395431157173,1,8,1,1,8,1,0,9,1,3,6,1,3,6,1
39,50,5000,10,1000000000.0,1e-08,1e-08,0.12147159505398307,0,10,0,0,10,0,0,10,0,2,4,4,2,4,4
39,50,20000,10,1000000000.0,1e-08,1e-08,0.12147159505398307,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
39,50,50000,10,1000000000.0,1e-08,1e-08,0.12147159505398307,1,9,0,1,9,0,0,10,0,1,7,2,1,8,1
40,50,5000,10,1000000000.0,1e-08,1e-08,0.12137067830169239,0,10,0,0,10,0,0,10,0,2,3,5,2,3,5
40,50,20000,10,1000000000.0,1e-08,1e-08,0.12137067830169239,0,9,1,0,8,2,0,9,1,0,7,3,0,7,3
40,50,50000,10,1000000000.0,1e-08,1e-08,0.12137067830169239,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
41,50,5000,10,1000000000.0,1e-08,1e-08,0.12054008227874786,2,7,1,2,7,1,2,7,1,5,1,4,4,2,4
41,50,20000,10,1000000000.0,1e-08,1e-08,0.12054008227874786,0,10,0,0,10,0,0,10,0,5,5,0,5,5,0
41,50,50000,10,1000000000.0,1e-08,1e-08,0.12054008227874786,1,9,0,1,9,0,0,10,0,2,8,0,2,8,0
42,50,5000,10,1000000000.0,1e-08,1e-08,0.12087544891510933,1,9,0,0,10,0,1,9,0,3,3,4,3,3,4
42,50,20000,10,1000000000.0,1e-08,1e-08,0.12087544891510933,0,9,1,0,9,1,0,9,1,2,5,3,2,5,3
42,50,50000,10,1000000000.0,1e-08,1e-08,0.12087544891510933,1,9,0,1,9,0,0,10,0,2,5,3,2,5,3
43,50,5000,10,1000000000.0,1e-08,1e-08,0.12089512129437148,0,10,0,0,10,0,0,10,0,3,1,6,3,1,6
43,50,20000,10,1000000000.0,1e-08,1e-08,0.12089512129437148,1,9,0,1,9,0,1,9,0,4,5,1,4,6,0
43,50,50000,10,1000000000.0,1e-08,1e-08,0.12089512129437148,2,8,0,1,9,0,0,10,0,4,5,1,4,5,1
44,50,5000,10,1000000000.0,1e-08,1e-08,0.12128461489383034,2,8,0,2,8,0,2,8,0,4,4,2,4,4,2
44,50,20000,10,1000000000.0,1e-08,1e-08,0.12128461489383034,0,10,0,0,10,0,0,10,0,3,5,2,2,6,2
44,50,50000,10,1000000000.0,1e-08,1e-08,0.12128461489383034,0,10,0,0,10,0,0,10,0,3,6,1,3,6,1
45,50,5000,10,1000000000.0,1e-08,1e-08,0.12093139098029806,1,9,0,1,9,0,1,9,0,3,3,4,2,4,4
45,50,20000,10,1000000000.0,1e-08,1e-08,0.12093139098029806,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
45,50,50000,10,1000000000.0,1e-08,1e-08,0.12093139098029806,0,10,0,0,10,0,0,10,0,3,7,0,3,6,1
46,50,5000,10,1000000000.0,1e-08,1e-08,0.12073585065710148,0,10,0,0,10,0,0,10,0,0,2,8,0,2,8
46,50,20000,10,1000000000.0,1e-08,1e-08,0.12073585065710148,0,10,0,1,9,0,0,10,0,1,6,3,1,6,3
46,50,50000,10,1000000000.0,1e-08,1e-08,0.12073585065710148,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
47,50,5000,10,1000000000.0,1e-08,1e-08,0.12135528211049866,0,9,1,0,9,1,0,9,1,1,7,2,1,7,2
47,50,20000,10,1000000000.0,1e-08,1e-08,0.12135528211049866,0,10,0,0,10,0,0,10,0,2,6,2,2,6,2
47,50,50000,10,1000000000.0,1e-08,1e-08,0.12135528211049866,0,10,0,0,10,0,0,10,0,3,6,1,3,6,1
48,50,5000,10,1000000000.0,1e-08,1e-08,0.11996339058399295,0,10,0,0,10,0,0,10,0,5,4,1,5,4,1
48,50,20000,10,1000000000.0,1e-08,1e-08,0.11996339058399295,0,9,1,0,8,2,0,9,1,1,6,3,1,6,3
48,50,50000,10,1000000000.0,1e-08,1e-08,0.11996339058399295,0,10,0,0,10,0,0,10,0,4,5,1,4,5,1
49,50,5000,10,1000000000.0,1e-08,1e-08,0.12101121234631534,0,9,1,0,9,1,0,10,0,2,6,2,2,6,2
49,50,20000,10,1000000000.0,1e-08,1e-08,0.12101121234631534,0,10,0,0,10,0,0,10,0,2,7,1,2,7,1
49,50,50000,10,1000000000.0,1e-08,1e-08,0.12101121234631534,1,8,1,1,8,1,1,9,0,1,8,1,1,8,1
